"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Quality prediction model of object-oriented software system using computational intelligence","Cong Jin; Shu-Wei Jin; Jun-Min Ye; Qing-Guo Zhang","Department of Computer Science, Central China Normal University, Wuhan, China; The School of Physics & Technology, Wuhan University, China; Department of Computer Science, Central China Normal University, Wuhan, China; Department of Computer Science, Central China Normal University, Wuhan, China","2009 2nd International Conference on Power Electronics and Intelligent Transportation System (PEITS)","5 Feb 2010","2009","2","","120","123","Effective prediction of the fault-proneness plays a very important role in the analysis of software quality and balance of software cost, and it also is an important problem of software engineering. Importance of software quality is increasing leading to development of new sophisticated techniques, which can be used in constructing models for predicting quality attributes. In this paper, we use fuzzy c-means clustering (FCM) and radial basis function neural network (RBFNN) to construct prediction model of the fault-proneness, RBFNN is used as a classificatory, and FCM is as a cluster. Object-oriented software metrics are as input variables of fault prediction model. Experiments results confirm that designed model is very effective for predicting a class's fault-proneness, it has a high accuracy, and its implementation requires neither extra cost nor expert's knowledge. It also is automated. Therefore, proposed model was very useful in predicting software quality and classing the fault-proneness.","","978-1-4244-4544-8","10.1109/PEITS.2009.5406941","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5406941","FCM;fault-proneness;RBFNN;object-oriented;software metrics;software quality prediction","Object oriented modeling;Predictive models;Software systems;Computational intelligence;Software quality;Costs;Software engineering;Fuzzy neural networks;Radial basis function networks;Software metrics","fuzzy set theory;object-oriented methods;pattern clustering;radial basis function networks;software cost estimation;software fault tolerance;software metrics;software quality","quality prediction model;object-oriented software system;computational intelligence;fault-proneness;software quality analysis;software cost;software engineering;fuzzy c-means clustering;radial basis function neural network;classificatory;object-oriented software metrics;fault prediction model","","","","6","","5 Feb 2010","","","IEEE","IEEE Conferences"
"Better validation in a world-wide development environment","C. Ebert; C. Hernandez Parro; R. Suttels; H. Kolarczyk","Switching & Routing Div., Alcatel, Antwerp, Belgium; NA; NA; NA","Proceedings Seventh International Software Metrics Symposium","7 Aug 2002","2001","","","298","305","Increasingly, software projects are handled in a global and distributed project setup. Global software development, however, also challenges traditional techniques of software engineering, such as peer reviews or teamwork. In particular, validation activities during development, such as inspections, need to be adjusted to achieve results which are both efficient and effective. Effective teamwork and the coaching of engineers contribute highly to successful projects. In this article, we evaluate experiences with validation activities in a global setting within Alcatel's switching and routing business. We investigate three hypotheses related, respectively, to the effects of collocated inspections, intensive coaching and feature-oriented development teams on globally distributed projects. As all these activities mean initial investment compared to a standard process with scattered activities, the major validation criterion for the three hypotheses is cost reduction due to earlier defect detection and less defects introduced. The data is taken from a sample of over 60 international projects of various sizes, from which we have collected all types of software product and process metrics in the past four years.","1530-1435","0-7695-1043-4","10.1109/METRIC.2001.915537","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=915537","","Costs;Teamwork;Routing;Inspection;Programming;Continents;Face detection;Investments;Scattering;Outsourcing","program verification;software development management;inspection;investment;software cost estimation;training;software metrics","software validation;world-wide software development environment;global distributed software projects;software engineering;peer review;teamwork;software inspection;intensive coaching;Alcatel;switching;routing;collocated inspections;feature-oriented development teams;initial investment;cost reduction;early defect detection;software defect introduction;international projects;software product metrics;software process metrics;efficiency;nonquality cost;incremental development","","","","17","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Software Project Cost Estimation Based on Groupware","Y. Jin; J. Li; J. Lin; Q. Chen","Zhejiang Provincial Dept. of Finance, Inf. Centre, China; NA; Zhejiang Provincial Dept. of Finance, Inf. Centre, China; Coll. of Inf. Eng., Zhejiang Univ. of Technol., Hangzhou, China","2009 WRI World Congress on Software Engineering","10 Nov 2009","2009","2","","437","441","This paper combination of COCOMO2 cost structure model, Object Oriented Metric, groupware technology to research and achieve software project cost estimation based on groupware. Through the source codes calculation of inside groupware and function point assessment among groupware, we can improve range of error of the cost assessment and improve the accuracy of estimate.","","978-0-7695-3570-8","10.1109/WCSE.2009.268","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5319616","Cost Estimation;Function Point Analysis;COCOMO2;Groupware","Collaborative software;Collaborative work;Object oriented modeling;Lab-on-a-chip;Cost function;Documentation;Predictive models;Information technology;Life estimation;Size measurement","groupware;object-oriented methods;project management;software cost estimation;software metrics","software project cost estimation;groupware;object oriented metric;source codes calculation;COCOMO2 cost structure model","","","","8","","10 Nov 2009","","","IEEE","IEEE Conferences"
"An empirical study of effort estimation during project execution","M. C. Ohlsson; C. Wohlin","Dept. of Commun. Syst., Lund Inst. of Technol., Sweden; NA","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","91","98","Presents an empirical study of effort estimation in software engineering projects. In particular, this study is focused on improvements in effort estimations as more information becomes available. For example, after the requirements phase, the requirements specification is available, and the question is whether the knowledge regarding the number of requirements helps in improving the effort estimation of the project. The objective is twofold. First, it is important to find suitable measures that can be used in the re-planning of the projects. Second, the objective is to study how the effort estimations evolve as a software project is performed. The analysis is based on data from 26 projects. The analysis consists of two main steps: model building based on data from part of the projects, and evaluation of the models for the other projects. No single measure was found to be a particular good measure for an effort prediction model; instead, several measures from different phases were used. The prediction models were then evaluated, and it is concluded that it is difficult to improve effort estimations during project execution, at least if the initial estimate is fairly good. It is, however, believed that the prediction models are important for knowing that the initial estimate is of the right order, i.e. the estimates are needed to ensure that the initial estimate was fairly good. It is concluded that the re-estimation approach will help project managers to stay in control of their projects.","","0-7695-0403-5","10.1109/METRIC.1999.809730","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=809730","","Predictive models;Particle measurements;Phase measurement;Statistical analysis;Phase estimation;Software performance;Project management;Control engineering education;Software engineering;Costs","software cost estimation;software metrics;software development management;planning;project management","effort estimation improvement;software engineering project execution;information availability;requirements phase;requirements specification;project replanning;software metrics;model building;model evaluation;effort prediction model;initial estimate;reestimation approach;project managers;project control;proxy-based estimation;empirical study;experience base;data collection;education;software measurements","","6","","14","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Metrics for controlling effort during adaptive maintenance of object oriented systems","F. Fioravanti; P. Nesi; F. Stortoni","Dept. of Syst. & Inf., Florence Univ., Italy; NA; NA","Proceedings IEEE International Conference on Software Maintenance - 1999 (ICSM'99). 'Software Maintenance for Business Change' (Cat. No.99CB36360)","6 Aug 2002","1999","","","483","492","Object oriented modeling has been largely adopted in industry in the last few years. Several systems built 4 or 5 years ago may need an adaptive maintenance process in order to better satisfy market and customer needs. A model for effort estimation/prediction of the adaptive maintenance is presented. A selection of metrics for effort estimation has been applied to the general model for evaluating maintenance effort. The metrics presented have been validated against real data. The validation presented has shown that some metrics that can be profitably employed for effort estimation/prediction can be also used with success for the estimation/prediction of the maintenance effort. Moreover the results obtained give some guidelines for maintenance of control of relevant factors for adaptive maintenance.","1063-6773","0-7695-0016-1","10.1109/ICSM.1999.792646","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=792646","","Control systems;Programmable control;Adaptive control;Costs;Object oriented modeling;Adaptive systems;Informatics;Guidelines;Vehicle dynamics;Vehicles","object-oriented programming;software metrics;software maintenance;software cost estimation","software metrics;effort control;object oriented systems;object oriented modeling;adaptive maintenance process;customer needs;effort estimation/prediction;effort estimation;maintenance effort","","6","","27","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Metrics for agent-based software development","B. H. Far; T. Wanyama","Dept. of Electr. & Comput. Eng., Calgary Univ., Alta., Canada; Dept. of Electr. & Comput. Eng., Calgary Univ., Alta., Canada","CCECE 2003 - Canadian Conference on Electrical and Computer Engineering. Toward a Caring and Humane Technology (Cat. No.03CH37436)","4 Sep 2003","2003","2","","1297","1300 vol.2","In software engineering community an increasing effort has been put into design and development of multiagent systems (MAS). However, agent system development is currently dominated by informal guidelines, heuristics and inspirations rather than formal principles and well defined engineering techniques. In this paper we define a set of objective and subjective metrics to measure the complexity of MAS. The subjective metrics is a modified version of function point (FP) including the algorithmic complexity and knowledge complexity factor. The objective metrics is a measure for nearly-decomposability, measured by the communicative cohesion. Such metrics can be used to select the best architecture for the MAS. A methodology for agent-based software development based on such metrics is proposed.","0840-7789","0-7803-7781-8","10.1109/CCECE.2003.1226137","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1226137","","Programming;Object oriented modeling;Ontologies;Computer architecture;Multiagent systems;Guidelines;Drives;Software engineering;Software metrics;Software agents","software metrics;multi-agent systems;software cost estimation;software agents","software development;software engineering community;multiagent systems;MAS;function point;algorithmic complexity;knowledge complexity factor;software metrics","","9","","6","","4 Sep 2003","","","IEEE","IEEE Conferences"
"Estimating effort by use case points: method, tool and case study","S. Kusumoto; F. Matukawa; K. Inoue; S. Hanabusa; Y. Maegawa","Graduate Sch. of Inf. Sci. & Technol., Osaka Univ., Japan; Graduate Sch. of Inf. Sci. & Technol., Osaka Univ., Japan; Graduate Sch. of Inf. Sci. & Technol., Osaka Univ., Japan; NA; NA","10th International Symposium on Software Metrics, 2004. Proceedings.","22 Nov 2004","2004","","","292","299","Use case point (UCP) method has been proposed to estimate software development effort in early phase of software project and used in a lot of software organizations. Intuitively, UCP is measured by counting the number of actors and transactions included in use case models. Several tools to support calculating UCP have been developed. However, they only extract actors and use cases and the complexity classification of them are conducted manually. We have been introducing UCP method to software projects in Hitachi Systems & Services, Ltd. To effective introduction of UCP method, we have developed an automatic use case measurement tool, called U-EST. This paper describes the idea to automatically classify the complexity of actors and use cases from use case model. We have also applied the U-EST to actual use case models and examined the difference between the value by the tool and one by the specialist. As the results, UCPs measured by the U-EST are similar to ones by the specialist.","1530-1435","0-7695-2129-0","10.1109/METRIC.2004.1357913","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1357913","","Computer aided software engineering;Programming;Phase estimation;Size measurement;Software measurement;Information science;Production systems;Project management;Software development management;Computer languages","software cost estimation;software development management;software metrics;software quality;project management;formal specification","use case point method;software development estimation;software organization;software projects;automatic use case measurement tool","","25","","18","","22 Nov 2004","","","IEEE","IEEE Conferences"
"Simulation and comparison of Albrecht's function point and DeMarco's function bang metrics in a CASE environment","R. Rask; P. Laamanen; K. Lyyttinen","Dept. of Comput. Sci., Joensuu Univ., Finland; Dept. of Comput. Sci., Joensuu Univ., Finland; NA","IEEE Transactions on Software Engineering","6 Aug 2002","1993","19","7","661","671","Software size estimates provide a basis for software cost estimation during software development. Hence, it is important to measure the system size reliably as early as possible. Two of the best known specification level metrics, Albrecht's function points (A.J. Albrecht, 1979) and DeMarco's function bang metrics (T. DeMarco, 1982) are compared by a simulation study in which automatically generated randomized dataflow diagrams (DFDs) were used as a statistical sample to automatically count function points and function bang in a built CASE environment. These value counts were correlated statistically using correlation coefficients and regression analysis. The simulation study permits sufficient variation in the base material to cover most types of system specifications. Moreover, it allows sufficient sampling sizes to make statistical analysis of data. The obtained results show that in certain cases there is a relatively good statistical correlation between these metrics.<>","1939-3520","","10.1109/32.238567","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=238567","","Computer aided software engineering;Cost function;Computer science;Programming;Size measurement;Regression analysis;Sampling methods;Statistical analysis;Software metrics;Software measurement","software cost estimation;software metrics;software tools","software size estimates;software cost estimation;software development;specification level metrics;function points;function bang metrics;simulation study;automatically generated randomized dataflow diagrams;DFDs;statistical sample;built CASE environment;system specifications;statistical correlation","","14","","26","","6 Aug 2002","","","IEEE","IEEE Journals"
"Factors that influence software project cost and schedule estimation","S. M. A. Suliman; G. Kadoda","Faculty of Mathematical Sciences, University of Khartoum, Khartoum, Sudan; Independent Researcher, Khartoum, Sudan","2017 Sudan Conference on Computer Science and Information Technology (SCCSIT)","15 Feb 2018","2017","","","1","9","Software Project Management is a core topic in software engineering courses because it teaches how software projects planned, implemented, controlled, monitored, and evaluated. The development of theories in software metrics and prediction models builds on the broader project management field but also attempt to overcome the difficulties inherent in measuring an intangible object like software. This paper is situated within research into the factors that influence cost and time estimation for software projects that continue to challenge software development organizations. The study described in this paper explored technical and non-technical factors seen by Sudanese software practitioners as critical in estimation, and if not managed, can result in cost and time overrun or in some cases lead to project failure. Using a mixed-method approach, the research project was first informed through a qualitative study that explored the kinds of problems that face the estimation process from the perspectives of different staff levels. This part of the study revealed a number of factors that can be broadly categorized as technical factors, e.g. the skills of those involved in the estimation process, and non-technical factors such as the high level of uncertainty in the local business environment. The second part of the study focused on one of the leading factors, software project staff training and experience, using the survey method to examine how well the software engineering curriculum is aligned with skills required in the software market, especially those related to estimation. The recommendations this study produced on reducing estimation errors, whether geared towards companies or academia, are preliminary and may only reflect the local setting. However, they also drew upon the vast literature on cost estimation techniques and case studies in similar and more advanced settings. The problem of software effort prediction and estimation models has been a thorny issue in the software engineering field since the concept of “software crisis” and the field itself, as a response to the crisis, emerged in the late 1960s. It still seems to some that “After forty years of currency the phrase `software engineering' still denotes no more than a vague and largely unfulfilled aspiration” [2]. This study develops our understanding of problems facing one of the young professions in the country, as well as contributes to the global body of research on developing techniques to manage the intricacy of software engineering compared to more established engineering disciplines.","","978-1-5386-0667-4","10.1109/SCCSIT.2017.8293053","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8293053","Software Project Management;Software Effort Prediction;Software Project Failure;Software Project Cost Estimation techniques","Software;Estimation;Software engineering;Companies;Project management;Tools;Schedules","computer science education;educational courses;mixture models;on-the-job training;personnel;project management;software cost estimation;software management;software metrics","software project management;software project cost estimation;software project schedule estimation;software engineering courses;software metrics;nontechnical factors;technical factors;Sudanese software practitioners;mixed-method approach;software project staff training;software project staff experience;software engineering curriculum;software market;software effort prediction;software effort estimation;software engineering field","","","","17","","15 Feb 2018","","","IEEE","IEEE Conferences"
"Re-planning for a successful project schedule","A. Rainer; M. Shepperd","Empirical Software Eng. Res. Group, Bournemouth Univ., Poole, UK; NA","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","72","81","Time-to-market or project duration has increasing significance for commercial software development. We report on a longitudinal study of a project at IBM Hursley Park. The focus of this study was schedule behaviour; however, we explored a range of related factors, including planned versus actual progress, resource allocation and functionality delivered. In the course of the 12-month study, evidence was collected from eight interviews, 49 project meetings, a number of project documents and a feedback workshop. The project leader considered the project to be a success, not only in terms of satisfying resource and schedule objectives, but also in the marketplace. Whilst many of the originally planned external commitments were met, it is clear that the project did not adhere to its original (detailed) plan and indeed there were no less than seven re-plans. These re-plans were mainly in response to mis-estimates in the original plan, rather than in response to the introduction of additional requirements (of which there were several) or problems with external dependencies. Furthermore, these re-plans suggest a distinction between the nature of the initial planning process and the nature of the re-planning process during the project. Attention is also directed at the implications these re-plans have for software metrics and cost estimation research.","","0-7695-0403-5","10.1109/METRIC.1999.809728","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=809728","","Scheduling;Programming;Process planning;Project management;Software engineering;Time to market;Resource management;Feedback;Process design;Personnel","software development management;software metrics;software cost estimation;project management;scheduling;planning;resource allocation","successful project schedule replanning;time-to-market;project duration;commercial software development;longitudinal study;IBM;schedule behaviour;planned progress;actual progress;resource allocation;delivered functionality;interviews;project meetings;project documents;feedback workshop;marketplace;external commitments;misestimates;additional requirements;external dependencies;initial planning process;software metrics;software cost estimation research;case study","","3","","","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Stepping towards dynamic measurement for object oriented software","A. Jain; A. Chug","University School of Information and Communication Technology, Guru Gobind Singh Indraprastha University, Dwarka, New Delhi, India; University School of Information and Communication Technology, Guru Gobind Singh Indraprastha University, Dwarka, New Delhi, India","2016 1st India International Conference on Information Processing (IICIP)","13 Jul 2017","2016","","","1","6","Software metrics are very helpful in measuring the different aspects of software like cohesion, coupling, polymorphism, inheritance etc. The objective of measuring software metrics are quality assurance, defect prediction, maintainability prediction, cost estimation, debugging, etc. Many authors proposed the use of static metrics for the software maintainability prediction (SMP) and were successful, but static metrics don't take into account the run-time behavior of software. Hence, to capture this dynamic behavior, dynamic metrics are necessary to be evaluated. This paper presents the empirical investigation of dynamic metrics for SMP and also compares them with static metrics. Six machine learning algorithms are used to build the prediction models for both the static and dynamic metrics. The performance of all models is compared using prevalent accuracy measures. Results show that dynamic metrics perform better than static metrics, and can be used as a sound alternative for SMP.","","978-1-4673-6984-8","10.1109/IICIP.2016.7975323","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7975323","software metrics;software maintenance;software maintainability;machine learning algorithms;prediction","Software;Software metrics;Couplings;Object oriented modeling;Predictive models","learning (artificial intelligence);object-oriented programming;program debugging;quality assurance;software cost estimation;software maintenance;software metrics;software quality","dynamic measurement;object oriented software;software metrics;quality assurance;defect prediction;cost estimation;software debugging;static metrics;software maintainability prediction;SMP;run-time software behavior;dynamic behavior;dynamic metrics;machine learning algorithms;accuracy measures","","","","22","","13 Jul 2017","","","IEEE","IEEE Conferences"
"Measuring functionality and productivity in Web-based applications: a case study","M. Morisio; I. Stamelos; V. Spahos; D. Romano","Maryland Univ., College Park, MD, USA; NA; NA; NA","Proceedings Sixth International Software Metrics Symposium (Cat. No.PR00403)","6 Aug 2002","1999","","","111","118","We explore the variation of the cost of writing code when object oriented framework based development of Web applications is encountered for the first time. Managers need such information to justify their investments in innovative development strategies. Size measurements are essential in this task and a number of metrics, namely: lines of code, classical function points, and object oriented function points, are employed. It is argued that lines of code and object oriented function points are more suitable in this case. Data analysis reveals that learning influences mainly the cost of writing new code, consisting of continuous calls to components provided by the framework. We also explore the applicability of an already proposed effort prediction model that is based on different reuse types. A cost estimation model is the by-product of this study, providing a helpful tool for managing the first projects in which the framework is employed.","","0-7695-0403-5","10.1109/METRIC.1999.809732","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=809732","","Productivity;Costs;Writing;Object oriented modeling;Information management;Innovation management;Investments;Size measurement;Data analysis;Predictive models","software cost estimation;object-oriented programming;information resources;distributed programming;software reusability","Web based application functionality;case study;object oriented framework based development;development strategies;size measurements;lines of code;classical function points;object oriented function points;continuous calls;effort prediction model;reuse types;cost estimation model","","12","","10","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Estimating the implementation time for discrete-event simulation model building","L. Chwif; J. Banks; M. R. P. Barretto","Escola de Engenharia Mauá, Praça Mauá 1, São Caetano do Sul, 09580-900, BRAZIL; Tecnológico de Monterrey, 64849, NL, MÉXICO; Universidade de São Paulo, Av. Prof. Mello Moraes 2231, 05508-900, BRAZIL","Proceedings of the 2010 Winter Simulation Conference","6 Jan 2011","2010","","","1774","1785","There are several techniques for estimating cost and time for software development. These are known in software engineering as “software metrics.” LOC (lines of code), COCOMO (COnstructive COst Model), and FPA (Function Point Analysis) are examples of such techniques. Although Discrete Event Simulation Modeling (DESM) has some differences from classical software development, it is possible to draw a parallel between these techniques and DESM. This article reviews some of the metrics from software engineering, and, based on those, proposes a metric for estimating time for the implementation of a simulation model using one specific simulation software. The results obtained for 22 real simulation projects showed that the proposed technique can estimate the time for software development with acceptable accuracy (average error of 6% and maximum absolute error of 38%) for models that have less that 200 simulation objects.","1558-4305","978-1-4244-9865-9","10.1109/WSC.2010.5678891","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5678891","","Software;Programming;Complexity theory;Software metrics;Productivity;Lifting equipment","discrete event simulation;software cost estimation;software metrics","discrete-event simulation model building;cost estimation;software development;software engineering;software metrics;lines of code;constructive cost model;function point analysis","","1","","15","","6 Jan 2011","","","IEEE","IEEE Conferences"
"Cost Estimation Using Extended Use Case Point (e-UCP) Model","K. Periyasamy; A. Ghode","Dept. of Comput. Sci., Univ. of Wisconsin-La Crosse, La Crosse, WI, USA; Dept. of Comput. Sci., Univ. of Wisconsin-La Crosse, La Crosse, WI, USA","2009 International Conference on Computational Intelligence and Software Engineering","28 Dec 2009","2009","","","1","5","Estimating the cost of development is one of the most crucial and daunting tasks for a software project manager. A lot of cost estimation models were reported in the literature but many of these models became obsolete because of the rapid changes in technology. Earlier cost estimation models used the size of the ultimate software product as the primary factor which, in many cases, was difficult to estimate. For example, COCOMO model used the number of Delivered Source Instructions (DSI) which is hard to estimate for products developed using modern programming languages. On the other hand, models such as Function Point (FP) metrics were designed to consider functional requirements instead of lines of code. These models were applicable only to procedural paradigm, and are not directly applicable to software products developed using the object-oriented methodology. It is this idea that gave birth to the creation of Use Case Point (UCP) metrics, originally developed by Gustav Karner[1993]. UCP uses use cases as the primary factor; use case model is the first model developed in an object-oriented design process using UML. In this paper, the authors extended the original UCP model with additional information obtained from use case narratives.","","978-1-4244-4507-3","10.1109/CISE.2009.5364515","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5364515","","Costs;Object oriented modeling;Unified modeling language;Application software;Computer science;Project management;Software development management;Computer languages;Process design;Software design","object-oriented methods;software cost estimation;software metrics;Unified Modeling Language","software cost estimation;extended use case point model;cost estimation model;delivered source instructions;function point metrics;object-oriented design process;Unified Modeling Language","","14","","14","","28 Dec 2009","","","IEEE","IEEE Conferences"
"Early phase software effort estimation model","P. Agrawal; S. Kumar","CSE Department, Sushila Devi Bansal College of Technology, Indore(M.P.), India; CSE Department, Sushila Devi Bansal College of Technology, Indore(M.P.), India","2016 Symposium on Colossal Data Analysis and Networking (CDAN)","19 Sep 2016","2016","","","1","8","Software cost estimation is the measurement of the effort and resource required to develop a software system for a particular defined time period. From the last few years, many software cost estimation models have been proposed for the estimation of effort and development time. The cost of the software can be estimated easily in the mid of project development. But with further study, we found that the cost must be estimated before the start of the project, to satisfy customer as well as developer's needs. In earlier proposed cost estimation models, cost estimation is done with more than 20 parameters at the early conceptual phase and if input is not defined using logical approach, then the results of estimation are unpredictable. This paper presents simple approach for estimating software development effort with a minimum set of parameters yet sufficient, that can be easily identified at an early stage while considering all possible aspects. We also introduced a weight factor in the estimation of effort for improving the accuracy of the estimation and the proposed weight factor is calculated by expert learning system. Further, we developed a web based tool for the estimation of cost based on our proposed approach. Finally, we compare our result with previous works on early estimation and conclude with the points of accuracy that we observe while comparing the results with existing approaches.","","978-1-5090-0669-4","10.1109/CDAN.2016.7570914","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7570914","Project Estimation;Effort Estimation;Cost Models;KSLOC;SDLC;Early Phase Cost Estimation","Estimation;Software;Learning systems;Databases;Solid modeling;Analytical models;Data models","Internet;learning (artificial intelligence);software cost estimation;software metrics","software effort estimation model;software cost estimation;software system development;project development;expert learning system;weight factor;early phase cost estimation;Web-based tool","","1","","17","","19 Sep 2016","","","IEEE","IEEE Conferences"
"Human performance estimating with analogy and regression models: an empirical validation","E. Stensrud; I. Myrtveit","Andersen Consulting, Northbrook, IL, USA; NA","Proceedings Fifth International Software Metrics Symposium. Metrics (Cat. No.98TB100262)","6 Aug 2002","1998","","","205","213","Most cost estimation models seem to be validated without testing human performance and using data sets from custom software projects where the software typically is sized in lines of code (SLOC) or function points. From a practitioner's point of view this research seems not to address some important aspects of IT projects that we observe: estimating in an industrial environment is performed by people, not models; COTS projects are increasing their market share replacing traditional custom software projects; and industrial projects use a large variety of metrics to size the project deliverables and estimate the costs. Estimation by analogy tools like ANGEL and multiple regression analysis provide the necessary flexibility in terms of choice of input parameters. We describe an experiment to evaluate human performance where the subjects were aided by analogy and regression tools respectively. 68 partners and managers in Andersen Consulting estimated 48 different COTS projects. The results in terms of MMRE indicate that users benefit from both tools, however more from regression models than from analogy models as ANGEL. Furthermore, the performance of the ANGEL tool itself is not superior to the performance of the regression model. This result is contradictory to previous studies that claim that ANGEL outperforms multiple regression.","","0-8186-9201-4","10.1109/METRIC.1998.731247","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=731247","","Humans;Costs;Testing;Electrical capacitance tomography;Read only memory;Electronic switching systems;Reactive power;Ice;Blades;Life estimation","human factors;software cost estimation;statistical analysis;software development management;software metrics","human performance estimation;regression models;cost estimation models;data sets;custom software projects;lines of code;function points;IT projects;COTS projects;industrial projects;software metrics;analogy tools;ANGEL;multiple regression analysis;experiment;Andersen Consulting","","36","","7","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Using public domain metrics to estimate software development effort","R. Jeffery; M. Ruhe; I. Wieczorek","Centre for Adv. Empirical Software Res., New South Wales Univ., Sydney, NSW, Australia; NA; NA","Proceedings Seventh International Software Metrics Symposium","7 Aug 2002","2001","","","16","27","The authors investigate the accuracy of cost estimates when applying most commonly used modeling techniques to a large-scale industrial data set which is professionally maintained by the International Software Standards Benchmarking Group (ISBSG). The modeling techniques applied are ordinary least squares regression (OLS), analogy based estimation, stepwise ANOVA, CART, and robust regression. The questions addresses in the study are related to important issues. The first is the appropriate selection of a technique in a given context. The second is the assessment of the feasibility of using multi-organizational data compared to the benefits from company-specific data collection. We compare company-specific models with models based on multi-company data. This is done by using the estimates derived for one company that contributed to the ISBSG data set and estimates from using carefully matched data from the rest of the ISBSG data. When using the ISBSG data set to derive estimates for the company, generally poor results were obtained. Robust regression and OLS performed most accurately. When using the company's own data as the basis for estimation, OLS, a CART-variant, and analogy performed best. In contrast to previous studies, the estimation accuracy when using the company's data is significantly higher than when using the rest of the ISBSG data set. Thus, from these results, the company that contributed to the ISBSG data set, would be better off when using its own data for cost estimation.","1530-1435","0-7695-1043-4","10.1109/METRIC.2001.915512","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=915512","","Programming;Costs;Robustness;Computer science;Data engineering;Large-scale systems;Computer industry;Least squares approximation;Analysis of variance;Software standards","software cost estimation;software metrics;least squares approximations;data analysis","public domain metrics;software development effort estimation;software cost estimates;large-scale industrial data set;International Software Standards Benchmarking Group;modeling techniques;ordinary least squares regression;analogy based estimation;stepwise ANOVA;CART;robust regression;multi-organizational data;company-specific data collection;company-specific models;multi-company data;ISBSG data set;CART-variant;estimation accuracy;cost estimation","","32","","31","","7 Aug 2002","","","IEEE","IEEE Conferences"
"Evaluating a functional size measurement method for Web applications: an empirical analysis","S. Abrahao; G. Poels; O. Pastor","Dept. of Inf. Syst. & Comput., Valencia Univ., Spain; NA; NA","10th International Symposium on Software Metrics, 2004. Proceedings.","22 Nov 2004","2004","","","358","369","This paper describes a laboratory experiment which evaluates OO-method function points for the Web. OOmFPWeb measures the functional size of Web applications using conceptual models that are developed with object-oriented Web solutions (OOWS), an automated software production method for Web applications. OOmFPWeb is evaluated on a range of performance-based and perception-based variables, including efficiency, reproducibility, perceived ease of use, perceived usefulness and intention to use. The results show that OOmFPWeb is efficient when compared to current industry practices. Furthermore, the method produces consistent functional size assessments and is perceived to be easy to use and useful by its users.","1530-1435","0-7695-2129-0","10.1109/METRIC.2004.1357921","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1357921","","Size measurement;Object oriented modeling;Application software;Laboratories;Software measurement;Production;Project management;Information analysis;Information systems;Performance evaluation","software cost estimation;software metrics;object-oriented methods;program verification;software development management","functional size measurement;Web applications;conceptual modeling;software validation;method evaluation;empirical software engineering;OO-method function points;object-oriented Web solutions","","6","","40","","22 Nov 2004","","","IEEE","IEEE Conferences"
