"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Systematic Literature Review on Software Effort Estimation Using Machine Learning Approaches","P. Sharma; J. Singh","Comput. Sci. & Eng., Chitkara Univ., Rajpura, India; Comput. Sci. & Eng., Chitkara Univ., Rajpura, India","2017 International Conference on Next Generation Computing and Information Systems (ICNGCIS)","4 Nov 2018","2017","","","43","47","Accurate effort estimation is amongst the key activities in the software project development. It directly impacts the time and cost of the software projects. This paper presents a systematic literature review of software effort estimation techniques using machine learning. This review presents a discussion about the research trends in machine learning inspired software effort estimation. The results of the systematic review has concluded prominent trends of machine learning approaches, size metrics, benchmark datasets, validation methods etc. used for software effort estimation.","","978-1-5386-4205-4","10.1109/ICNGCIS.2017.33","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8520309","Systematic Literature Review;Effort estimation;Machine learning approaches","Estimation;Software;Machine learning;Measurement;Systematics;Bibliographies;Libraries","learning (artificial intelligence);project management;software cost estimation;software development management;software metrics","software effort estimation techniques;software projects;software project development;machine learning approaches;systematic literature review","","1","","47","","4 Nov 2018","","","IEEE","IEEE Conferences"
"An investigation of code cycles and Poltergeist anti-pattern","S. R. A. Al-Rubaye; Y. E. Selcuk","Department of Computer Engineering, Yildiz Technical University, Davutpasa, 34220, Istanbul, Turkiye; Department of Computer Engineering, Yildiz Technical University, Davutpasa, 34220, Istanbul, Turkiye","2017 8th IEEE International Conference on Software Engineering and Service Science (ICSESS)","23 Apr 2018","2017","","","139","140","The aim of this paper is to propose a method for detecting the Poltergeist anti-pattern. Anti-patterns are poor designs that lower software quality, especially by increasing complexity and decreasing maintainability. As maintenance of software projects costs as much as their development, it is necessary to detect poorly designed code and refactor it.","2327-0594","978-1-5386-0497-7","10.1109/ICSESS.2017.8342882","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8342882","anti-patterns;poltergeist;cycle detection","Tools;Software quality;Maintenance engineering;Java;Measurement;Prototypes","project management;software cost estimation;software development management;software maintenance;software metrics;software quality","code cycles;software quality;software complexity;software maintainability;Poltergeist antipattern;software project costs","","","","14","","23 Apr 2018","","","IEEE","IEEE Conferences"
"Measuring software product quality: a survey of ISO/IEC 9126","Ho-Won Jung; Seung-Gweon Kim; Chang-Shin Chung","Dept. of Bus. Adm., Korea Univ., Seoul, South Korea; Dept. of Bus. Adm., Korea Univ., Seoul, South Korea; NA","IEEE Software","4 Oct 2004","2004","21","5","88","92","To address the issues of software product quality, the Joint Technical Committee 1 of the International Organization for Standardization and International Electrotechnical Commission published a set of software product quality standards known as ISO/IEC 9126. These standards specify software product quality's characteristics and subcharacteristics and their metrics. Based on a user survey, this study of the standard helps clarity quality attributes and provides guidance for the resulting standards.","1937-4194","","10.1109/MS.2004.1331309","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1331309","ISO/IEC 9126;software quality model standards","Software measurement;Software quality;ISO standards;IEC standards;Software packages;Packaging;Writing;Software standards;Multidimensional systems;Standards development","software quality;software metrics;software standards;software cost estimation","software product quality;ISO standard;IEC standard;quality characteristics","","129","","12","","4 Oct 2004","","","IEEE","IEEE Magazines"
"Reliability of COSMIC Functional Size Measurement Results: A Multiple Case Study on Industry Cases","O. O. Top; O. Demirors; B. Ozkan","Inf. Inst., Middle East Tech. Univ., Ankara, Turkey; Inf. Inst., Middle East Tech. Univ., Ankara, Turkey; Inf. Inst., Middle East Tech. Univ., Ankara, Turkey","2009 35th Euromicro Conference on Software Engineering and Advanced Applications","8 Dec 2009","2009","","","327","334","Accuracy of the functional size is critical in software project management, since functional size is the most prevalent input for effort and cost estimation models. Functional size measurement is performed based on standardized manuals; however, the accuracy of FSM results is still based on the knowledge and cautions of the measurers. In this study we performed a multiple case study to identify the reliability of COSMIC and to observe the frequently encountered errors during functional size measurement. Problems in the individual learning process and the clarity of the guidelines are distinguished as the two main causes that impact the accuracy of the measurement results.","2376-9505","978-0-7695-3784-9","10.1109/SEAA.2009.17","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5349939","Functional Size Measurement;COSMIC;Reliability","Size measurement;ISO standards;Informatics;Cost function;Performance evaluation;Application software;Project management;Guidelines;IEC standards;Software measurement","project management;software cost estimation;software management;software metrics;software reliability;software standards","COSMIC functional size measurement;software project management;cost estimation models;standardized manuals","","9","","29","","8 Dec 2009","","","IEEE","IEEE Conferences"
"An experimental comparison of software effort estimation methods of ORM based 4GL software applications","M. Tanrıverdi; Ö. Ö. Tanrıöver","Computer Engineering, Ankara University, Ankara, Turkey; Computer Engineering, Ankara University, Ankara, Turkey","2017 International Conference on Computer Science and Engineering (UBMK)","2 Nov 2017","2017","","","239","243","Software effort estimation is important in planning and project budgeting for both developers and customers. Although there are many popular effort estimation techniques which have gone through significant developments in the past, software development methodologies and technologies are developing rapidly as a result of the need to improve the existing models. To this end, this paper compares and analyses three popular methods, namely COCOMO II, COSYSMO and Advanced COSTMO-4GL when used with ORM based fourth-generation-language software applications. COSYSMO is found to give better estimation than COSTMO-4GL for both pure 4GL and with ORM components included.","","978-1-5386-0930-9","10.1109/UBMK.2017.8093382","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8093382","Software Effort Estimation;COCOMO II;COSYSMO;COSTMO-4GL;4GL;Object Relational Mapping","Estimation;Performance evaluation;Radio frequency","project management;software cost estimation;software development management;software metrics","project budgeting;software development methodologies;fourth-generation-language software applications;Advanced COSTMO-4GL method;COSYSMO method;COCOMO II method;ORM based 4GL software applications;software effort estimation methods","","","","19","","2 Nov 2017","","","IEEE","IEEE Conferences"
"Early Web size measures and effort prediction for Web costimation","E. Mendes; N. Mosley; S. Counsell","Dept. of Comput. Sci., Auckland Univ., New Zealand; NA; NA","Proceedings. 5th International Workshop on Enterprise Networking and Computing in Healthcare Industry (IEEE Cat. No.03EX717)","23 Sep 2003","2003","","","18","39","Size measures for Web costimation proposed in the literature are invariably related to implemented Web applications. Even when targeted at measuring functionality based on function point analysis, researchers only considered the final Web application, rather than requirements documentation generated using any existing Web development methods. This makes their usefulness as early effort predictors questionable. In addition, it is believed that company-specific data provide a better basis for accurate estimates. Many software engineering researchers have compared the accuracy of company-specific data with multiorganisation databases. However the datasets employed were comprised of data from conventional applications. To date no similar comparison has been adopted for Web project datasets. It has two objectives: The first is to present a survey where early size measures for Web costimation were identified using data collected from 133 Web companies worldwide. All companies included in the survey used Web forms to give quotes on Web development projects, based on gathered size measures. The second is to compare the prediction accuracy of a Web company-specific data with data from a multiorganisation database. Both datasets were obtained via Web forms, used as part of a research project called Tukutuku. Our results show that best predictions were obtained for company-specific dataset, for the two estimation techniques employed.","1530-1435","0-7695-1987-3","10.1109/METRIC.2003.1232452","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1232452","","Size measurement;Application software;Java;Costs;Databases;Computer science;HTML;Software engineering;Predictive models;XML","Internet;case-based reasoning;software cost estimation;software metrics","Web costimation;function point analysis;Web development method;company-specific data accuracy;multiorganisation database;Web project dataset;Tukutuku research project;cost estimation;cost prediction model;case-based reasoning;empirical study;Internet;Web measurement;Web metrics;regression model","","23","","39","","23 Sep 2003","","","IEEE","IEEE Conferences"
"Return on investment of software quality predictions","T. M. Khoshgoftaar; E. B. Allen; W. D. Jones; J. P. Hudepohl","Florida Atlantic Univ., Boca Raton, FL, USA; NA; NA; NA","Proceedings. 1998 IEEE Workshop on Application-Specific Software Engineering and Technology. ASSET-98 (Cat. No.98EX183)","6 Aug 2002","1998","","","145","150","Software quality classification models can be used to target reliability enhancement efforts toward high risk modules. We summarize a generalized classification rule which we have proposed. Cost aspects of a software quality classification model are discussed. The contribution of this paper is a demonstration of how to assess the return on investment of model accuracy, in the context of a software quality classification model. An industrial case study of a very large telecommunications system illustrates the method. The dependent variable of the model was the probability that a module will have faults discovered by customers. The independent variables were software product and process metrics. The model is compared to random selection of modules for reliability enhancement. Calculation of return on investment can guide selection of the generalized classification rule's parameter so that the model is well-suited to the project.","","0-8186-8582-4","10.1109/ASSET.1998.688249","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=688249","","Investments;Software quality;Software systems;Risk management;Context modeling;Embedded software;Automatic testing;Predictive models;Costs;Communication industry","investment;software cost estimation;software quality;software reliability;telecommunication computing;software metrics","return on investment;software quality predictions;software quality classification models;software reliability;software cost;industrial case study;large telecommunications system;process metrics","","8","","9","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Estimation of software defects fix effort using neural networks","Hui Zeng; D. Rine","Sch. of Inf. & Technol., George Mason Univ., Fairfax, VA, USA; NA","Proceedings of the 28th Annual International Computer Software and Applications Conference, 2004. COMPSAC 2004.","18 Oct 2004","2004","2","","20","21 vol.2","Software defects fix effort is an important software development process metric that plays a critical role in software quality assurance. People usually like to apply parametric effort estimation techniques using historical lines of code and function points data to estimate effort of defects fixes. However, these techniques are neither efficient nor effective for a new different kind of project's fixing defects when code will be written within the context of a different project or organization. In this paper, we present a solution for estimating software defect fix effort using self-organizing neural networks.","0730-3157","0-7695-2209-2","10.1109/CMPSAC.2004.1342658","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1342658","","Neural networks;Software quality;System testing;Programming;Input variables;Software maintenance;Computer science;Quality management;Resource management;Software development management","software cost estimation;software quality;self-organising feature maps;software metrics","software defect fix effort estimation;software development process metric;software quality assurance;function points data;self-organizing neural network","","11","","7","","18 Oct 2004","","","IEEE","IEEE Conferences"
"Analysis of effort estimation based on software project models","P. Jodpimai; P. Sophatsathit; C. Lursinsap","Advanced Virtual and Intelligent Computing (AVIC) Center, Department of Mathematics, Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Advanced Virtual and Intelligent Computing (AVIC) Center, Department of Mathematics, Faculty of Science, Chulalongkorn University, Bangkok, Thailand; Advanced Virtual and Intelligent Computing (AVIC) Center, Department of Mathematics, Faculty of Science, Chulalongkorn University, Bangkok, Thailand","2009 9th International Symposium on Communications and Information Technology","1 Dec 2009","2009","","","715","720","This paper investigates the interrelationship among various measured characteristics of a software project, ranging from project model, size, and metrics used to govern the administration of the project. By analyzing various dimensions of project characteristics based on the underlying model, metrics and project technicality such as language and development paradigm, our findings reveal that certain metrics and models are not suitable for small project since they possess insufficient information to extract and analyze the inherent characteristics of the project. As such, project managers should pay attention to proper selection of project parameters that are conducive toward accurate estimations.","","978-1-4244-4521-9","10.1109/ISCIT.2009.5341149","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5341149","","Object oriented modeling;Costs;Software metrics;Predictive models;Life estimation;Size measurement;Software measurement;Programming;Mathematical model;Information analysis","project management;software cost estimation;software metrics","effort estimation analysis;software project models;software costs estimation;project managers;information extraction;project model","","3","","14","","1 Dec 2009","","","IEEE","IEEE Conferences"
"A Method for Measuring the Size of a Component-Based System Specification","T. Wijayasiriwardhane; R. Lai","Dept. of Comput. Sci. & Comput. Eng., La Trobe Univ., Melbourne, VIC; Dept. of Comput. Sci. & Comput. Eng., La Trobe Univ., Melbourne, VIC","2008 The Eighth International Conference on Quality Software","19 Aug 2008","2008","","","329","337","The system-level size measures are particularly important in software project management as tasks such as planning and estimating the cost and schedule of software development can be performed more effectively when a size estimate of the entire system is available. However, due to the black-box nature of components, traditional software measures are not adequate as system-level measures for component-based systems (CBS). Thus, if a system-level size is required, alternate measures should be used for sizing CBS. In this paper, we present a function point like approach, named component point to measure the system-level size of a CBS using the CBS specification written in UML. The component point approach integrates two software measures and extends an existing size measure from the more matured object-oriented paradigm to the related and relatively young CBS discipline. We also suggest a customized set of general system characteristics so as to make our measure more relevant to CBS.","2332-662X","978-0-7695-3312-4","10.1109/QSIC.2008.17","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=4601562","Software Size Estimation;Software Effort Estimation;Software Measurement;Component Point;Component-Based Systems;Component-Based Software Development;Function Point extension","Complexity theory;Software measurement;Software;Size measurement;Estimation;Unified modeling language;Programming","formal specification;object-oriented programming;project management;scheduling;software cost estimation;software development management;software metrics;Unified Modeling Language","component-based system;system specification;system-level size measure;software project management;software cost estimation;scheduling;software development;software measures;component point;UML;object-oriented programming","","2","","36","","19 Aug 2008","","","IEEE","IEEE Conferences"
"Applicability of Neural Network Based Models for Software Effort Estimation","S. Shukla; S. Kumar",Indian Institute of Technology Roorkee; Indian Institute of Technology Roorkee,"2019 IEEE World Congress on Services (SERVICES)","29 Aug 2019","2019","2642-939X","","339","342","Effort Estimation is a very challenging task in the software development life cycle. Inaccurate estimations may cause the client dissatisfaction and thereby, decrease the quality of the product. Considering the problem of software cost and effort prediction, it is conceivable to call attention to that the estimation procedure considers the qualities present in the data set, as well as the aspects of the environment in which the model is embedded. Existing literatures have the instances where machine learning techniques such as Linear Regression (LR), Support Vector Machine (SVM), K-Nearest Neighbor (KNN) have been used to estimate the effort required to develop any software. Yet it is quite uncertain for any particular model to perform well with all the data sets. Most of the research is based on the dataset of any single organization. Consequently, the results obtained through these models cannot be generalized. So, the main objectives of this research are: i) to use different data preparation techniques such as selection, cleaning, and transformation to improve the quality of data set given to the model ii) to use other machine learning models such as Multi-Layer Perceptron Neural Network (MLPNN), Probabilistic Neural Network (PNN), and Recurrent Neural Network (RNN) to increase the performance of software effort estimation process iii) to use different optimization techniques to tune the parameters of machine learning models iv) to use ensemble methods to improve the accuracy of software effort estimation process. In this study, first, we found out the most influential attributes in the Desharnais data set, then, MLPNN has been applied on reduced data set with to improve the accuracy of software effort estimation. Then, the performance of the MLPNN model is compared with LR, SVM and KNN models in the literature to find the best model fitting this dataset. Results obtained from the study demonstrate that some of the variables are more important in comparison to others for effort estimation. Also among the various models used in this study, the best-obtained R2 value is 79 % for the MLPNN model.","2642-939X","978-1-7281-3851-0","10.1109/SERVICES.2019.00094","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=8817057","Machine Learning;Software Metrics;Predictive Model;Effort Estimation","Software;Estimation;Support vector machines;Data models;Correlation;Machine learning;Machine learning algorithms","learning (artificial intelligence);neural nets;software cost estimation","Desharnais data set;software development life cycle;software cost;data preparation techniques;software effort estimation process;machine learning models;neural network based models","","","","15","","29 Aug 2019","","","IEEE","IEEE Conferences"
"The development of method of the enhancement of Technical Factor (TF) and Environmental Factor (EF) to the Use Case Point (UCP) to calculate the estimation of software's effort","Sarwosri; M. J. Al Haiyan; M. Husein; A. Putra Ferza","Informatics Department, Faculty of Information Technology, Institut Teknologi Sepuluh Nopember (ITS), St. Arief Rahman Hakim, Surabaya 60111 Indonesia; Informatics Department, Faculty of Information Technology, Institut Teknologi Sepuluh Nopember (ITS), St. Arief Rahman Hakim, Surabaya 60111 Indonesia; Informatics Department, Faculty of Information Technology, Institut Teknologi Sepuluh Nopember (ITS), St. Arief Rahman Hakim, Surabaya 60111 Indonesia; Informatics Department, Faculty of Information Technology, Institut Teknologi Sepuluh Nopember (ITS), St. Arief Rahman Hakim, Surabaya 60111 Indonesia","2016 International Conference on Information & Communication Technology and Systems (ICTS)","27 Apr 2017","2016","","","203","207","Use Case Point (UCP) is one of many approaches used for software project estimation. This approach is implemented by calculating effort estimation based on prediction a total number of workers and software development time. UCP was fist introduced by Karner on 1993. This approach is widely used. It was because some research on UCP showed that UCP approach is better than those approaches developed by experts. The calculation of effort estimation that was mentioned in the paper (Chetan Nagar, 2011), it has been proven that calculation estimation using UCP sometimes doesn't fit the real effort. This leads to the difference in cost calculation and a total number of workers on software development project. The difference in effort calculation is maybe caused by the lack of consideration factors that was calculated on UCP. Besides, in the case of software development project, there must be so many factors that must be taken into consideration in UCP calculation. Based on those backgrounds, this paper will explain the way to minimize the difference between actual effort and effort estimation by increasing Technical Complexity Factor (TCF) and Environmental Complexity Factor (ECF) in estimation using UCP. Those factors are added by considering two ways (1) adding drive cost factor in COCOMO II that is mapped to TFC and ECF (2) conducting qualitative research by deeply understanding a problem in developing software. The result of estimation deviation using old UCP approach is 6.19% on project 1 and 39.32% on project 2 while the result of estimation deviation using new UCP approach is 5.02% on project 1 and 7.94% on project 2. The results showed that the decrease of deviation is too large in project 1 (on a middle scale), besides on project with smaller scale, the decrease of deviation can be much larger. Because of that, TF and EF involvement are effective enough to be implemented on the calculation of project a small scale. Beside of that, it is proven that the new UCP is better to be implemented in software development project effort estimation.","2338-185X","978-1-5090-1381-4","10.1109/ICTS.2016.7910299","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7910299","Use Case Point (UCP);Effort Estimation;COCOMO;TCP (Technical Complexity Factors);ECF (Enviromental Complexity Factor)","Software;Estimation;Complexity theory;Environmental factors;Education;Planning;Interviews","project management;software cost estimation;software development management;software metrics","technical factor enhancement;TF enhancement;environmental factor enhancement;EF enhancement;use-case point;UCP;worker prediction;software development time prediction;technical complexity factor;TFC;environmental complexity factor;ECF;COCOMO II;cost factor;qualitative analylsis;software development project effort estimation","","","","7","","27 Apr 2017","","","IEEE","IEEE Conferences"
"Constructing C++ software size estimation model from class diagram","M. Kiewkanya; S. Surak","Department of Computer Science, Faculty of Science Chiang Mai University, Thailand; Department of Computer Science, Faculty of Science Chiang Mai University, Thailand","2016 13th International Joint Conference on Computer Science and Software Engineering (JCSSE)","21 Nov 2016","2016","","","1","6","Software size is one of the most important internal attributes of software product. The information obtained from estimating software size will be useful for planning about effort, cost and activities schedule of later phases. This paper proposes an approach for constructing C++ software size estimation model using a statistical technique called Multiple linear regression analysis. The proposed model is constructed from structural complexity metrics that can be measured from class diagram. The paper also presents an automated tool for measuring these metrics, and in effect, estimating the C++ software size.","","978-1-5090-2033-1","10.1109/JCSSE.2016.7748880","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=7748880","size estimation model;structural complexity metric;class diagram","Software;Measurement;C++ languages;Estimation;Unified modeling language;Computational modeling;Object oriented modeling","C++ language;regression analysis;software cost estimation;software metrics;software product lines","C++ software size estimation model;structural complexity metrics;multiple linear regression analysis;statistical technique;software product;class diagram","","1","","12","","21 Nov 2016","","","IEEE","IEEE Conferences"
"A survey on software estimation in the Norwegian industry","K. Moloekken-OEstvold; M. Joergensen; S. S. Tanilkan; H. Gallis; A. C. Lien; S. W. Hove","Simula Res. Lab., Lysaker, Norway; Simula Res. Lab., Lysaker, Norway; NA; NA; NA; NA","10th International Symposium on Software Metrics, 2004. Proceedings.","22 Nov 2004","2004","","","208","219","We provide an overview of the estimation methods that software companies apply to estimate their projects, why those methods are chosen, and how accurate they are. In order to improve estimation accuracy, such knowledge is essential. We conducted an in-depth survey, where information was collected through structured interviews with senior managers from 18 different companies and project managers of 52 different projects. We analyzed information about estimation approach, effort estimation accuracy and bias, schedule estimation accuracy and bias, delivered functionality and other estimation related information. Our results suggest, for example, that average effort overruns are 41%, that the estimation performance has not changed much the last 10-20 years, that expert estimation is the dominating estimation method, that estimation accuracy is not much impacted by use of formal estimation models, and that software managers tend to believe that the estimation accuracy of their company is better than it actually is.","1530-1435","0-7695-2129-0","10.1109/METRIC.2004.1357904","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=1357904","","Computer industry;Frequency estimation;Project management;Job shop scheduling;Laboratories;Informatics;Information analysis;Software performance;Hardware;Computer languages","software cost estimation;project management;software metrics;software development management;software houses;software performance evaluation","software project estimation;schedule estimation accuracy;formal estimation model;Norwegian industry;software effort estimation;software company;structured interview information","","34","","38","","22 Nov 2004","","","IEEE","IEEE Conferences"
"Reuse in Systems Engineering","G. Wang; R. Valerdi; J. Fortune","BAE Systems, Reston, VA, USA; Engineering Systems Division, Massachusetts Institute of Technology, Cambridge, MA, USA; Center for Systems and Software Engineering, University of Southern California, Los Angeles, CA, USA","IEEE Systems Journal","30 Aug 2010","2010","4","3","376","384","Reuse in systems engineering is a frequent but poorly understood phenomenon. Nevertheless, it has a significant impact on system development and on estimating the appropriate amount of systems engineering effort with models like the Constructive Systems Engineering Cost Model (COSYSMO). Practical experience showed that the initial version of COSYSMO, based on a “build from the scratch” philosophy, needed to be refined in order to incorporate reuse considerations that fit today's industry environment. The notion of reuse recognizes the effect of legacy system definition in engineering a system and introduces multiple reuse categories for classifying the four COSYSMO size drivers-requirements, interfaces, algorithms, and operational scenarios. It fundamentally modifies the driver counting rules and updates its definition of system size. It provides an enabling framework for estimating a system under incremental and spiral development. In this paper, we present: 1) the definition of the COSYSMO reuse extension and the approach employed to define this extension; 2) the updated COSYSMO size driver definitions to be consistent with the reuse model; 3) the method applied to defining the reuse weights used in the modified parametric relationship; 4) a practical implementation example that instantiates the reuse model by an industry organization and the empirical data that provided practical validation of the extended COSYSMO model; and 5) recommendations for organizational implementation and deployment of this extension.","1937-9234","","10.1109/JSYST.2010.2051748","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=5492294","Cost estimation;metrics;reuse;systems engineering","Systems engineering and theory;Costs;Industrial relations;Computer industry;Software engineering;Process design;Productivity;Gallium nitride;Refining;Spirals","organisational aspects;software cost estimation;software metrics;software reusability;systems engineering","system development;constructive systems engineering cost model;reuse considerations;legacy system definition;multiple reuse category;COSYSMO size drivers;COSYSMO reuse extension;reuse model;industry organization;organizational implementation","","19","","31","","28 Jun 2010","","","IEEE","IEEE Journals"
"Design for testability in embedded software projects","G. Sahay","India Design Centre, Goodrich Aerospace, Bangalore, Karnataka, India","2011 IEEE/AIAA 30th Digital Avionics Systems Conference","8 Dec 2011","2011","","","7D4-1","7D4-10","The purpose of this white paper is to focus on design techniques or methodologies that add testability features to embedded software which is an integral and important process for verification of any safety critical system. This paper presents testability in two forms: software testability i.e. testability at code level and design testability: i.e. testability at software requirements level. The two testability forms are further classified into subtypes explained in detail with examples which cite issues that are faced by engineers while performing verification. In this paper I have also come up with metrics which could become an important criterion in calculating the testability of a system considering the number of inputs that can be driven and the outputs that can be observed in the software during the verification process. Practical usage of these metrics may help designers understand how testable the system they have designed is, thus reducing verification effort and project cost. Good testability features, if not present in a system, may lead to increased cost and completion period of the project at a time when cost reduction and deadline chasing is the key to winning future projects. This paper endeavors to provide software developers guidance to incorporate important testability features into the software during the design and coding phase.","2155-7209","978-1-61284-798-6","10.1109/DASC.2011.6096129","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=6096129","","Software;Testing;Resistance heating;Hardware;Circuit faults;Heat engines","embedded systems;program testing;program verification;project management;safety-critical software;software cost estimation;software metrics","embedded software projects;safety critical system verification;software testability;design for testability;code level testability;software requirements;software metrics;project cost;cost reduction;deadline chasing;software developer guidance","","1","","7","","8 Dec 2011","","","IEEE","IEEE Conferences"
"Improving subjective estimates using paired comparisons","E. Miranda",NA,"IEEE Software","7 Aug 2002","2001","18","1","87","91","Despite the existence of structured methods for software sizing and effort estimation, the so-called ""expert"" approach seems to be the prevalent way to produce estimates in the software industry. This article presents a method based on paired comparisons, which social science researchers use for measuring when there is no accepted measurement scale or when a measurement instrument does not exist. Although not new, the idea has received little attention in the literature.","1937-4194","","10.1109/52.903173","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=903173","","Computer industry;Project management;Binary trees;Software measurement","software development management;software metrics;project management;software cost estimation","subjective estimates;structured methods;software sizing;software effort estimation;software industry;paired comparisons;social science;project management;software cost","","28","","11","","7 Aug 2002","","","IEEE","IEEE Magazines"
"Understanding and predicting the process of software maintenance releases","V. Basili; L. Briand; S. Condon; Yong-Mi Kim; W. L. Melo; J. D. Valen","Inst. for Adv. Comput. Studies, Maryland Univ., College Park, MD, USA; NA; NA; NA; NA; NA","Proceedings of IEEE 18th International Conference on Software Engineering","6 Aug 2002","1996","","","464","474","One of the major concerns of any maintenance organization is to understand and estimate the cost of maintenance releases of software systems. Planning the next release so as to maximize the increase in functionality and the improvement in quality are vital to successful maintenance management. The objective of the paper is to present the results of a case study in which an incremental approach was used to better understand the effort distribution of releases and build a predictive effort model for software maintenance releases. The study was conducted in the Flight Dynamics Division (FDD) of NASA Goddard Space Flight Center (GSFC). The paper presents three main results: (1) a predictive effort model developed for the FDD's software maintenance release process, (2) measurement-based lessons learned about the maintenance process in the FDD, (3) a set of lessons learned about the establishment of a measurement-based software maintenance improvement program. In addition, this study provides insights and guidelines for obtaining similar results in other maintenance organizations.","0270-5257","0-8186-7247-1","10.1109/ICSE.1996.493441","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=493441","","Software maintenance;Predictive models;Software systems;NASA;Software measurement;Scheduling;Resource management;Costs;Guidelines;Software engineering","software maintenance;software metrics;software quality;software cost estimation;planning;software development management","software maintenance releases;maintenance organization;cost estimation;software systems;planning;functionality;quality;maintenance management;predictive effort model;measurement-based software maintenance improvement program","","47","","14","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Comparative review of functional complexity assessment methods for effort estimation","S. G. MacDonell","Dept. of Inf. Sci., Otago Univ., Dunedin, New Zealand","Software Engineering Journal","6 Aug 2002","1994","9","3","107","116","Budgetary constraints are placing increasing pressure on project managers to effectively estimate development effort requirements at the earliest opportunity. With the rising impact of automation on commercial software development, the attention of researchers developing effort estimation models has recently been focused on functional representations of systems, in response to the assertion that development effort is a function of specification content. A number of such models exist; several, however, have received almost no research or industry attention. Project managers wishing to implement a functional assessment and estimation programme are therefore unlikely to be aware of the various methods or how they compare. This paper therefore provides this information, as well as forming a basis for the development and improvement of new methods.<>","0268-6961","","10.1049/sej.1994.0014","","https://ieeexplore-ieee-org.recursos.biblioteca.upc.edu/stamp/stamp.jsp?arnumber=295067","","Project management;Software economics;Software metrics","project engineering;project management;software cost estimation;software metrics","functional complexity assessment methods;effort estimation;project managers;commercial software development","","12","","","","6 Aug 2002","","","IET","IET Journals"
